Date,Open,High,Low,Close,Volume,Adj Close
2013-02-26,1.49,1.50,1.35,1.46,83500,1.46
2013-02-25,1.47,1.51,1.41,1.42,17700,1.42
2013-02-22,1.42,1.42,1.38,1.41,11000,1.41
2013-02-21,1.40,1.45,1.38,1.42,5400,1.42
2013-02-20,1.45,1.46,1.40,1.42,7100,1.42
2013-02-19,1.45,1.46,1.41,1.44,3100,1.44
2013-02-15,1.42,1.42,1.40,1.40,6700,1.40
2013-02-14,1.45,1.45,1.38,1.38,8600,1.38
2013-02-13,1.39,1.45,1.39,1.45,8800,1.45
2013-02-12,1.43,1.43,1.41,1.41,1100,1.41
2013-02-11,1.44,1.50,1.40,1.41,10700,1.41
2013-02-08,1.47,1.48,1.40,1.41,5800,1.41
2013-02-07,1.43,1.49,1.41,1.41,5300,1.41
2013-02-06,1.45,1.50,1.43,1.45,3300,1.45
2013-02-05,1.46,1.50,1.41,1.49,7500,1.49
2013-02-04,1.42,1.48,1.42,1.48,400,1.48
2013-02-01,1.47,1.51,1.45,1.45,6500,1.45
2013-01-31,1.52,1.52,1.52,1.52,1800,1.52
2013-01-30,1.48,1.48,1.48,1.48,2000,1.48
2013-01-29,1.50,1.50,1.45,1.47,4200,1.47
2013-01-28,1.43,1.55,1.43,1.55,10700,1.55
2013-01-25,1.48,1.50,1.48,1.48,22300,1.48
2013-01-24,1.51,1.51,1.49,1.49,3700,1.49
2013-01-23,1.44,1.50,1.44,1.50,6100,1.50
2013-01-22,1.43,1.50,1.41,1.49,50700,1.49
2013-01-18,1.40,1.43,1.37,1.37,5200,1.37
2013-01-17,1.34,1.40,1.34,1.39,6400,1.39
2013-01-16,1.39,1.39,1.32,1.38,3000,1.38
2013-01-15,1.42,1.45,1.35,1.36,18300,1.36
2013-01-14,1.35,1.40,1.35,1.35,54800,1.35
2013-01-11,1.40,1.40,1.39,1.40,12200,1.40
2013-01-10,1.42,1.42,1.38,1.38,11400,1.38
2013-01-09,1.38,1.41,1.38,1.41,2800,1.41
2013-01-08,1.38,1.38,1.38,1.38,9300,1.38
2013-01-07,1.35,1.42,1.34,1.38,36500,1.38
2013-01-04,1.32,1.36,1.32,1.34,5700,1.34
2013-01-03,1.35,1.36,1.32,1.32,8200,1.32
2013-01-02,1.37,1.37,1.34,1.34,2800,1.34
2012-12-31,1.33,1.34,1.33,1.33,5500,1.33
2012-12-28,1.34,1.42,1.34,1.34,14800,1.34
2012-12-27,1.38,1.38,1.33,1.33,5600,1.33
2012-12-26,1.42,1.43,1.37,1.37,8500,1.37
2012-12-24,1.37,1.40,1.37,1.37,5000,1.37
2012-12-21,1.46,1.54,1.37,1.39,9200,1.39
2012-12-20,1.36,1.55,1.35,1.55,19600,1.55
2012-12-19,1.36,1.36,1.31,1.32,22900,1.32
2012-12-18,1.35,1.36,1.35,1.36,1000,1.36
2012-12-17,1.37,1.37,1.25,1.30,6000,1.30
2012-12-14,1.37,1.37,1.35,1.35,1900,1.35
2012-12-13,1.37,1.37,1.25,1.25,15200,1.25
2012-12-12,1.28,1.36,1.28,1.35,7400,1.35
2012-12-11,1.23,1.33,1.23,1.31,30000,1.31
2012-12-10,1.21,1.29,1.21,1.29,1000,1.29
2012-12-07,1.28,1.32,1.21,1.25,9600,1.25
2012-12-06,1.28,1.28,1.28,1.28,000,1.28
2012-12-05,1.38,1.38,1.25,1.28,47400,1.28
2012-12-04,1.40,1.46,1.36,1.39,14000,1.39
2012-12-03,1.54,1.54,1.42,1.44,59700,1.44
2012-11-30,1.45,1.50,1.45,1.47,12400,1.47
2012-11-29,1.35,1.60,1.31,1.45,39400,1.45
2012-11-28,1.30,1.43,1.23,1.33,18000,1.33
2012-11-27,1.20,1.24,1.18,1.23,26300,1.23
2012-11-26,1.23,1.25,1.18,1.18,21800,1.18
2012-11-23,1.28,1.35,1.23,1.31,5500,1.31
2012-11-21,1.31,1.35,1.30,1.34,18500,1.34
2012-11-20,1.41,1.41,1.28,1.31,16600,1.31
2012-11-19,1.46,1.46,1.34,1.35,21400,1.35
2012-11-16,1.46,1.50,1.33,1.46,25000,1.46
2012-11-15,1.51,1.66,1.50,1.60,19700,1.60
2012-11-14,1.48,1.48,1.39,1.48,5800,1.48
2012-11-13,1.53,1.53,1.48,1.52,2400,1.52
2012-11-12,1.37,1.62,1.35,1.57,24100,1.57
2012-11-09,1.42,1.50,1.38,1.38,13600,1.38
2012-11-08,1.40,1.46,1.38,1.39,9700,1.39
2012-11-07,1.38,1.45,1.38,1.44,8800,1.44
2012-11-06,1.50,1.50,1.39,1.39,11900,1.39
2012-11-05,1.50,1.59,1.46,1.46,10200,1.46
2012-11-02,1.51,1.58,1.51,1.54,6500,1.54
2012-11-01,1.48,1.54,1.40,1.46,7000,1.46
2012-10-31,1.54,1.59,1.26,1.54,20600,1.54
2012-10-26,1.60,1.60,1.53,1.53,2800,1.53
2012-10-25,1.57,1.65,1.55,1.55,1800,1.55
2012-10-24,1.60,1.60,1.57,1.60,6300,1.60
2012-10-23,1.59,1.63,1.59,1.63,5000,1.63
2012-10-22,1.65,1.66,1.65,1.65,8400,1.65
2012-10-19,1.66,1.68,1.56,1.56,22600,1.56
2012-10-18,1.69,1.72,1.65,1.67,8000,1.67
2012-10-17,1.67,1.75,1.65,1.73,22000,1.73
2012-10-16,1.64,1.73,1.63,1.64,9500,1.64
2012-10-15,1.72,1.72,1.63,1.71,7600,1.71
2012-10-12,1.66,1.74,1.63,1.63,16200,1.63
2012-10-11,1.70,1.70,1.67,1.70,11400,1.70
2012-10-10,1.66,1.66,1.63,1.63,1800,1.63
2012-10-09,1.63,1.63,1.63,1.63,1000,1.63
2012-10-08,1.69,1.69,1.62,1.62,5400,1.62
2012-10-05,1.66,1.71,1.66,1.69,4200,1.69
2012-10-04,1.63,1.66,1.62,1.66,1900,1.66
2012-10-03,1.70,1.70,1.61,1.62,7500,1.62
2012-10-02,1.89,1.89,1.65,1.65,11100,1.65
2012-10-01,1.72,1.76,1.72,1.76,2700,1.76
2012-09-28,1.71,1.79,1.70,1.75,2100,1.75
2012-09-27,1.71,1.81,1.70,1.71,8200,1.71
2012-09-26,1.61,1.63,1.61,1.63,8800,1.63
2012-09-25,1.64,1.72,1.61,1.61,22600,1.61
2012-09-24,1.70,1.71,1.66,1.71,13600,1.71
2012-09-21,1.70,1.77,1.65,1.75,11100,1.75
2012-09-20,1.66,1.80,1.66,1.69,4100,1.69
2012-09-19,1.76,1.81,1.76,1.77,24500,1.77
2012-09-18,1.73,1.79,1.73,1.73,8500,1.73
2012-09-17,1.72,1.81,1.71,1.77,6500,1.77
2012-09-14,1.83,1.86,1.72,1.72,11500,1.72
2012-09-13,1.85,1.87,1.79,1.83,3500,1.83
2012-09-12,1.83,1.83,1.82,1.82,8100,1.82
2012-09-11,1.78,1.83,1.78,1.81,11700,1.81
2012-09-10,1.80,1.85,1.78,1.78,14300,1.78
2012-09-07,1.75,1.80,1.75,1.78,10100,1.78
2012-09-06,1.69,1.83,1.69,1.71,9800,1.71
2012-09-05,1.67,1.68,1.52,1.60,44900,1.60
2012-09-04,1.67,1.71,1.62,1.63,5000,1.63
2012-08-31,1.70,1.70,1.70,1.70,2500,1.70
2012-08-30,1.70,1.72,1.69,1.70,275400,1.70
2012-08-29,1.69,1.69,1.69,1.69,000,1.69
2012-08-28,1.74,1.74,1.65,1.69,16000,1.69
2012-08-27,1.75,1.75,1.71,1.73,17400,1.73
2012-08-24,1.71,1.75,1.70,1.75,7300,1.75
2012-08-23,1.74,1.77,1.72,1.72,4700,1.72
2012-08-22,1.72,1.75,1.50,1.70,19200,1.70
2012-08-21,1.88,1.90,1.72,1.72,19400,1.72
2012-08-20,1.86,1.90,1.86,1.89,1200,1.89
2012-08-17,1.90,1.90,1.86,1.86,13200,1.86
2012-08-16,1.92,1.96,1.90,1.90,17000,1.90
2012-08-15,1.95,1.97,1.90,1.95,23800,1.95
2012-08-14,2.02,2.09,1.86,1.93,97800,1.93
2012-08-13,2.06,2.25,2.05,2.25,51400,2.25
2012-08-10,2.06,2.06,2.06,2.06,100,2.06
2012-08-09,2.17,2.22,2.01,2.18,20800,2.18
2012-08-08,2.01,2.18,1.98,2.00,43300,2.00
2012-08-07,2.01,2.02,1.97,1.97,3100,1.97
2012-08-06,2.00,2.00,1.96,1.97,14100,1.97
2012-08-03,2.03,2.05,1.95,2.00,20800,2.00
2012-08-02,2.03,2.03,2.03,2.03,1200,2.03
2012-08-01,2.01,2.02,1.99,2.02,3300,2.02
2012-07-31,1.98,2.14,1.96,2.01,16200,2.01
2012-07-30,1.96,2.05,1.96,1.98,5900,1.98
2012-07-27,2.02,2.02,1.87,1.98,14200,1.98
2012-07-26,2.14,2.14,2.05,2.10,10300,2.10
2012-07-25,2.06,2.18,2.05,2.14,41900,2.14
2012-07-24,2.06,2.11,2.06,2.10,54800,2.10
2012-07-23,2.16,2.19,2.07,2.11,44500,2.11
2012-07-20,2.13,2.20,2.13,2.13,4800,2.13
2012-07-19,2.19,2.20,2.13,2.16,13400,2.16
2012-07-18,2.20,2.22,2.13,2.20,20700,2.20
2012-07-17,2.19,2.22,2.15,2.22,5700,2.22
2012-07-16,2.18,2.22,2.12,2.20,9400,2.20
2012-07-13,2.22,2.24,2.20,2.20,10000,2.20
2012-07-12,2.35,2.40,2.22,2.27,13400,2.27
2012-07-11,2.22,2.40,2.21,2.33,222300,2.33
2012-07-10,2.20,2.40,2.20,2.22,22000,2.22
2012-07-09,2.31,2.35,2.28,2.35,26200,2.35
2012-07-06,2.27,2.30,2.13,2.30,11700,2.30
2012-07-05,2.18,2.31,2.18,2.21,41300,2.21
2012-07-03,2.20,2.25,2.03,2.18,23100,2.18
2012-07-02,2.10,2.26,2.10,2.20,58200,2.20
2012-06-29,1.94,2.12,1.94,2.08,34600,2.08
2012-06-28,1.94,1.95,1.93,1.94,3600,1.94
2012-06-27,1.90,1.94,1.90,1.94,8000,1.94
2012-06-26,1.89,1.94,1.89,1.90,6600,1.90
2012-06-25,1.86,1.93,1.86,1.90,19200,1.90
2012-06-22,1.85,1.93,1.85,1.89,10900,1.89
2012-06-21,1.94,1.95,1.85,1.90,33900,1.90
2012-06-20,1.89,1.92,1.85,1.87,5100,1.87
2012-06-19,1.94,1.94,1.81,1.92,26500,1.92
2012-06-18,1.94,1.94,1.90,1.93,6900,1.93
2012-06-15,1.85,1.93,1.85,1.93,18100,1.93
2012-06-14,1.98,1.98,1.86,1.88,13500,1.88
2012-06-13,1.89,1.94,1.85,1.92,23500,1.92
2012-06-12,1.89,1.95,1.84,1.93,46200,1.93
2012-06-11,1.92,1.95,1.84,1.84,27400,1.84
2012-06-08,1.92,1.95,1.91,1.92,63400,1.92
2012-06-07,1.98,2.00,1.90,1.92,38000,1.92
2012-06-06,2.13,2.18,1.86,1.95,232100,1.95
2012-06-05,2.30,2.39,2.11,2.24,321600,2.24
2012-06-04,3.00,3.19,2.91,3.05,212500,3.05
2012-06-01,2.40,2.85,2.40,2.85,132400,2.85
2012-05-31,2.28,2.49,2.18,2.49,68200,2.49
2012-05-30,2.20,2.34,2.20,2.25,42100,2.25
2012-05-29,2.37,2.37,2.18,2.27,42600,2.27
2012-05-25,2.10,2.36,2.10,2.32,80900,2.32
2012-05-24,2.06,2.10,2.02,2.09,50300,2.09
2012-05-23,2.03,2.07,2.00,2.02,29200,2.02
2012-05-22,1.87,2.06,1.87,2.03,70500,2.03
2012-05-21,1.82,1.89,1.80,1.84,23600,1.84
2012-05-18,1.87,1.87,1.81,1.82,13000,1.82
2012-05-17,1.83,1.90,1.83,1.87,45300,1.87
2012-05-16,1.89,1.92,1.82,1.83,72000,1.83
2012-05-15,2.12,2.12,1.80,1.81,79400,1.81
2012-05-14,2.11,2.20,2.10,2.11,34000,2.11
2012-05-11,2.14,2.26,2.12,2.16,31300,2.16
2012-05-10,2.15,2.28,2.15,2.22,31000,2.22
2012-05-09,2.02,2.24,2.01,2.10,89500,2.10
2012-05-08,2.17,2.22,2.01,2.02,74500,2.02
2012-05-07,2.33,2.36,2.15,2.16,114000,2.16
2012-05-04,2.35,2.44,2.26,2.28,74100,2.28
2012-05-03,2.89,3.04,2.37,2.37,194500,2.37
2012-05-02,3.03,3.03,2.84,2.86,109000,2.86
2012-05-01,3.75,3.80,3.00,3.13,467900,3.13
2012-04-30,2.50,3.86,2.50,3.65,1323600,3.65
2012-04-27,2.17,2.17,2.04,2.09,21000,2.09
2012-04-26,2.05,2.25,2.04,2.09,22200,2.09
2012-04-25,2.04,2.04,1.90,1.96,6300,1.96
2012-04-24,1.98,2.04,1.90,1.97,21500,1.97
2012-04-23,1.97,2.19,1.82,2.01,13400,2.01
2012-04-20,2.10,2.10,1.97,2.00,32400,2.00
2012-04-19,2.20,2.22,2.08,2.11,31600,2.11
2012-04-18,2.13,2.30,2.11,2.20,8200,2.20
2012-04-17,2.40,2.49,2.11,2.27,9400,2.27
2012-04-16,2.08,2.62,2.04,2.30,55200,2.30
2012-04-13,2.08,2.10,2.04,2.04,20300,2.04
2012-04-12,2.08,2.10,2.00,2.02,33800,2.02
2012-04-11,2.05,2.16,2.05,2.05,27000,2.05
2012-04-10,2.20,2.20,2.01,2.09,53500,2.09
2012-04-09,2.39,2.39,2.08,2.20,27700,2.20
2012-04-05,2.55,2.55,2.24,2.44,39700,2.44
2012-04-04,2.58,2.75,2.53,2.59,20700,2.59
2012-04-03,2.95,2.98,2.56,2.60,40400,2.60
2012-04-02,3.02,3.02,2.96,2.96,38000,2.96
2012-03-30,3.02,3.12,2.97,3.02,63300,3.02
2012-03-29,2.98,3.08,2.98,3.00,11400,3.00
2012-03-28,3.08,3.11,2.98,2.98,45500,2.98
2012-03-27,3.10,3.10,3.08,3.08,1400,3.08
2012-03-26,3.10,3.23,3.05,3.06,15000,3.06
2012-03-23,3.08,3.14,3.05,3.09,9200,3.09
2012-03-22,3.04,3.06,3.04,3.05,1000,3.05
2012-03-21,3.07,3.16,3.04,3.04,27300,3.04
2012-03-20,3.07,3.10,3.06,3.09,26500,3.09
2012-03-19,3.14,3.21,3.07,3.07,39900,3.07
2012-03-16,3.17,3.17,2.98,3.08,66100,3.08
2012-03-15,3.26,3.30,3.03,3.10,44400,3.10
2012-03-14,3.61,3.68,3.39,3.40,31700,3.40
2012-03-13,3.89,3.89,3.66,3.69,10400,3.69
2012-03-12,3.88,4.14,3.70,3.91,7900,3.91
2012-03-09,4.00,4.00,3.95,3.95,5000,3.95
2012-03-08,4.05,4.05,3.99,4.00,3500,4.00
2012-03-07,3.91,4.05,3.91,4.01,7100,4.01
2012-03-06,3.99,4.14,3.61,3.63,11200,3.63
2012-03-05,4.13,4.17,3.97,3.97,16100,3.97
2012-03-02,3.94,4.17,3.64,4.07,14900,4.07
2012-03-01,3.78,3.95,3.78,3.88,13000,3.88
2012-02-29,3.71,3.75,3.71,3.71,10800,3.71
2012-02-28,3.61,3.69,3.61,3.68,9600,3.68
2012-02-27,3.44,3.69,3.44,3.54,4300,3.54
2012-02-24,3.43,3.48,3.40,3.41,11500,3.41
2012-02-23,3.48,3.50,3.40,3.45,16800,3.45
2012-02-22,3.48,3.63,3.47,3.56,23400,3.56
2012-02-21,3.68,3.78,3.50,3.50,27600,3.50
2012-02-17,3.79,3.87,3.64,3.71,7000,3.71
2012-02-16,3.74,3.74,3.68,3.71,5100,3.71
2012-02-15,3.97,3.97,3.80,3.80,13500,3.80
2012-02-14,4.09,4.09,3.82,3.98,18600,3.98
2012-02-13,4.26,4.26,4.07,4.15,11300,4.15
2012-02-10,4.30,4.35,4.21,4.26,6400,4.26
2012-02-09,4.20,4.21,4.04,4.05,32900,4.05
2012-02-08,4.33,4.33,4.30,4.30,3800,4.30
2012-02-07,4.26,4.30,4.25,4.28,800,4.28
2012-02-06,4.25,4.26,4.21,4.26,1100,4.26
2012-02-03,4.40,4.48,4.31,4.46,6100,4.46
2012-02-02,4.45,4.45,4.40,4.40,1100,4.40
2012-02-01,4.39,4.44,4.39,4.44,2600,4.44
2012-01-31,4.40,4.40,4.32,4.36,7900,4.36
2012-01-30,4.37,4.49,4.37,4.44,1200,4.44
2012-01-27,4.49,4.50,4.41,4.48,6700,4.48
2012-01-26,4.34,4.37,4.32,4.37,1100,4.37
2012-01-25,4.33,4.34,4.28,4.34,5300,4.34
2012-01-24,4.25,4.28,4.19,4.28,5100,4.28
2012-01-23,4.29,4.29,4.08,4.15,16400,4.15
2012-01-20,4.19,4.20,4.15,4.15,11100,4.15
2012-01-19,4.24,4.24,3.91,4.16,13700,4.16
2012-01-18,4.33,4.33,3.98,4.14,16600,4.14
2012-01-17,4.53,4.53,4.21,4.21,6900,4.21
2012-01-13,4.26,4.44,4.26,4.44,12400,4.44
2012-01-12,4.16,4.35,3.99,4.20,48800,4.20
2012-01-11,4.50,4.65,4.09,4.23,28700,4.23
2012-01-10,4.65,4.78,4.37,4.46,29600,4.46
2012-01-09,4.87,4.90,4.69,4.70,14300,4.70
2012-01-06,5.21,5.21,4.66,4.87,19700,4.87
2012-01-05,4.52,5.00,4.52,4.98,11500,4.98
2012-01-04,4.80,4.82,4.67,4.71,12000,4.71
2012-01-03,4.96,4.96,4.53,4.71,3800,4.71
